well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
c6b782a4,1,616,4877,129277.2567911148,7.091950280205869,17.9560546875,11217.87,12216.0,1
c70c0e01,2,990,4312,445562.24023246765,11.122053195617543,26.693359375,12587.86,13478.0,0
c84c65be,4,3084,8496,713229.2890329361,9.968551928858398,26.990234375,10055.26,11376.0,0
c8d9680c,1,157,6281,20914.84498310089,4.46253236417058,13.6025390625,11364.54,12206.0,1
c9578d27,1,431,4487,72786.08687973022,5.272359497521024,16.169921875,11221.94,12429.0,1
c96c018a,3,463,6236,58703.44304847717,4.690922097160238,13.7314453125,11350.13,12303.0,1
c9e980e8,1,563,4359,76999.89177513123,6.099271924117237,16.078125,11393.52,12648.0,3
cb34231f,2,737,5609,86284.90246105194,5.9044938451274165,13.162109375,12759.81,13703.0,1
cb879f40,1,492,6315,53695.041189193726,6.367006846099423,16.73828125,10828.04,12206.0,2
cbb406b5,1,634,6328,116693.11921405792,5.7097946547042735,17.7177734375,11397.06,12400.0,3
cbe62450,1,927,6258,173270.93328380585,7.196060116657653,16.3271484375,10816.19,12203.0,3
cc08aa63,2,474,3274,67782.79100131989,7.450142788821729,15.162109375,11193.23,12241.0,3
ccedb12b,1,2332,4401,693154.0574684143,12.837416153460016,28.6005859375,12670.12,14043.0,2
cd7f1687,1,349,4232,53966.73863887787,5.770166708662183,15.1171875,11448.36,12703.0,0
cdc31d65,2,559,4840,91770.82343292236,5.925118679275135,16.7265625,12090.43,13051.0,2
cdc60a53,1,183,5878,23262.083074569702,3.9072517377477447,12.7236328125,11207.88,12267.0,1
cf50c9d1,2,1728,4858,265245.99251556396,8.529676099749127,16.1357421875,11223.79,12192.0,3
d00e7eb9,1,255,5704,62602.58458805084,5.054088146915021,20.6923828125,10932.16,11739.0,0
d011f41b,2,2051,2267,1264167.9055891037,23.724120898974743,35.47265625,11169.75,12132.0,3
d085e611,2,1105,6191,342004.36895656586,8.580107346676026,27.9130859375,10911.49,11989.0,0
d0a0e7b5,2,285,3816,45902.629791259766,5.622634356905166,14.130859375,10903.08,12252.0,3
d0cb63ae,1,832,5223,101721.75039863586,7.116521935113479,30.625,11044.69,11738.0,2
d1457cc5,2,1193,6920,328303.5555419922,7.590978661269407,22.216796875,10704.67,11290.0,2
d1ecf309,2,480,6168,63185.27346992493,5.507481579670334,13.5654296875,11040.04,12125.0,2
d2f3b1ab,1,2451,5581,1712159.6404266357,18.066878240784142,34.431640625,11157.1,12178.0,1
d3df146b,1,275,5787,37564.70924568176,4.481372047032967,13.2666015625,12209.54,13000.0,1
d463e527,1,2155,4767,558153.5796909332,11.278038298197067,23.2978515625,12211.24,13749.0,1
d4f60a28,1,1286,4501,235111.1081829071,8.810563738425662,18.2333984375,12546.48,13477.0,2
d50c649a,3,1585,4873,261493.84645462036,9.006635265132367,17.8017578125,11914.25,13049.0,2
d543916f,3,2222,4799,736973.8392133713,13.130533766294304,26.5009765625,10875.77,11884.0,0
d60430e6,2,595,2511,80180.47624111176,7.435016510801259,13.724609375,11204.22,12197.0,0
d63196fe,1,194,4510,24559.477212905884,3.772358554004954,12.5048828125,12057.08,13088.0,2
d6c320d9,2,818,5452,113880.20606899261,5.83805863973387,12.88671875,11167.64,12274.0,2
d6dd7330,2,3941,6193,2072145.2907743454,18.471516307975786,34.05078125,11943.55,13124.0,0
d7ba4f9d,1,333,6023,42028.15711593628,4.568324893235608,12.1845703125,12606.42,13707.0,1
d7eb0be8,2,2422,5401,1307981.6851406097,16.202102447513436,32.498046875,12730.83,13859.0,0
d84b621b,2,2240,3994,1286330.588973999,18.15767762670853,42.8056640625,11205.51,12315.0,2
d90aa14c,3,3147,10018,955018.1421079636,10.47810419266208,29.5751953125,10916.87,12121.0,1
d924e971,2,2193,3184,2602566.58899498,28.896183768976826,69.248046875,12029.45,13107.0,0
d9ae59b2,3,1800,3648,478662.43407440186,12.271586037079606,31.900390625,11039.17,12401.0,2
d9d6d94d,1,262,4919,39615.92510890961,6.2378962635049175,14.0439453125,12625.34,13772.0,1
da3bfe4e,1,731,5549,87268.00751495361,5.271228946687402,11.966796875,10996.19,12019.0,1
da3cf798,2,1359,5844,818465.882396698,12.255722370932796,34.0771484375,10779.49,11848.0,2
da940160,4,2414,5132,430206.9632873535,9.781480105424825,17.97265625,11367.19,12436.0,1
dc7da28f,1,436,4774,60384.20555782318,5.554148324341512,14.0888671875,10955.19,11986.0,0
dd168de0,1,167,3304,25722.504776000977,4.592524695829895,14.9755859375,11002.35,11862.0,2
dd6bc5b2,2,2668,3602,556282.6137742996,12.887709859906924,18.6337890625,11145.39,12216.0,3
dd7d638e,1,1509,4301,307526.37365055084,9.493757844807199,16.6796875,11194.27,12245.0,3
df71d1ff,1,404,6228,92513.69154548645,4.958930371304725,18.240234375,10959.0,12043.0,2
